Order ID,Date,Product,Country Code,  UnitCost  ,  UnitPrice  ,SalesQuantity
821516,01/01/2019,Chocolate Chip Muffin (Boston),USA,0.99,4.96,322
821517,02/01/2019,Chicken Fajita Wrap (Geneva),CHE,0.58,2.88,230
821518,03/01/2019,Tomato Juice (Strasbourg),FRA,0.43,2.13,465
821519,04/01/2019,Still Water (Katowice),POL,0.81,4.04,495
821520,05/01/2019,Chocolate Chip Muffin (Hamburg),DEU,0.33,1.63,340
821521,06/01/2019,Lemon & Ginger Tea (Sydney),AUS,0.63,3.17,321
821522,07/01/2019,Tomato Juice (Auckland),NZL,0.37,1.86,283
821523,08/01/2019,Cheese & Pickle Sandwich (London),GBR,0.92,4.59,286
821524,09/01/2019,Apple Juice (Salzburg),AUT,0.59,2.97,490
821525,10/01/2019,Chicken Salad Sandwich (San Francisco),USA,0.61,3.07,447
821526,11/01/2019,Tomato Juice (Berlin),DEU,0.35,1.75,259
821527,12/01/2019,Green Tea (Strasbourg),FRA,0.84,4.21,239
821528,13/01/2019,Chocolate Chip Muffin (Portland),USA,0.38,1.89,490
821529,14/01/2019,Chicken Salad Sandwich (Boston),USA,0.71,3.57,216
821530,15/01/2019,Porridge (Salzburg),AUT,1.08,5.42,248
821531,16/01/2019,BLT Sandwich (Hamilton),NZL,0.44,2.21,426
821532,17/01/2019,Tuna Melt Panini (Sønderborg),DNK,0.48,2.41,317
821533,18/01/2019,Tea (Albuquerque),USA,0.92,4.59,211
821534,19/01/2019,Apple Juice (Paris),FRA,0.64,3.2,278
821535,20/01/2019,Coffee (Odense),DNK,0.79,3.93,456
821536,21/01/2019,Ham & Cheese Toastie (London),GBR,0.76,3.8,252
821537,22/01/2019,Cheese & Pickle Sandwich (Potsdam),DEU,0.9,4.51,222
821538,23/01/2019,Blueberry Muffin (Sønderborg),DNK,1.02,5.11,302
821539,24/01/2019,Ham & Cheese Toastie (Toulouse),FRA,0.78,3.91,325
821540,25/01/2019,Fruit Box (Stockholm),SWE,0.71,3.57,451
821541,26/01/2019,Blueberry Muffin (Lille),FRA,0.42,2.12,414
821542,27/01/2019,Green Tea (Edinburgh),GBR,1.02,5.12,338
821543,28/01/2019,Chocolate Twist (Sønderborg),DNK,0.8,4.02,468
821544,29/01/2019,Lemon & Ginger Tea (Odense),DNK,0.64,3.19,292
821545,30/01/2019,Coffee (Portland),USA,0.98,4.92,272
821546,31/01/2019,Tuna Melt Panini (Odense),DNK,0.83,4.17,432
821547,01/02/2019,Tuna Melt Panini (Galway),IRL,0.35,1.75,420
821548,02/02/2019,BLT Sandwich (Berlin),DEU,0.45,2.26,356
821549,03/02/2019,Chocolate Chip Muffin (Copenhagan),DNK,0.76,3.82,459
821550,04/02/2019,Tomato Juice (Cardiff),GBR,0.76,3.8,392
821551,05/02/2019,Butter Croissant (London),GBR,0.65,3.26,234
821552,06/02/2019,Blueberry Muffin (Manchester),GBR,0.39,1.95,349
821553,07/02/2019,Cheese & Pickle Sandwich (Kraków),POL,0.36,1.82,366
821554,08/02/2019,Chicken Fajita Wrap (Salzburg),AUT,1.06,5.32,360
821555,09/02/2019,Almond Croissant (Copenhagan),DNK,0.92,4.6,269
821556,10/02/2019,Coffee (Lille),FRA,0.58,2.89,312
821557,11/02/2019,Chocolate Chip Muffin (Katowice),POL,0.99,4.93,406
821558,12/02/2019,Porridge (Strasbourg),FRA,0.51,2.54,448
821559,13/02/2019,Butter Croissant (Brussels),BEL,0.39,1.93,217
821560,14/02/2019,Tuna Melt Panini (Vancouver),CAN,0.64,3.18,285
821561,15/02/2019,Coffee (Cardiff),GBR,0.43,2.17,309
821562,16/02/2019,Tuna Melt Panini (Birmingham),GBR,0.5,2.49,295
821563,17/02/2019,Apple Juice (Cardiff),GBR,0.37,1.84,463
821564,18/02/2019,Sparkling Water (Auckland),NZL,0.95,4.74,454
821565,19/02/2019,Apple Juice (Austin),USA,0.94,4.72,242
821566,20/02/2019,Orange Juice (Lausanne),CHE,0.59,2.97,410
821567,21/02/2019,Butter Croissant (Birmingham),GBR,0.78,3.91,425
821568,22/02/2019,Coffee (Toulouse),FRA,0.43,2.15,459
821569,23/02/2019,Chicken Salad Sandwich (Odense),DNK,0.93,4.66,421
821570,24/02/2019,Tomato Juice (San Francisco),USA,0.81,4.07,360
821571,25/02/2019,Toast (Hamilton),NZL,0.7,3.48,207
821572,26/02/2019,Apple Juice (Berlin),DEU,0.53,2.66,439
821573,27/02/2019,Sparkling Water (Brussels),BEL,0.9,4.5,203
821574,28/02/2019,Sparkling Water (Stuttgart),DEU,0.5,2.51,281
