Order ID,Date,Product,Country Code,  UnitCost  ,  UnitPrice  ,SalesQuantity
208660,01/01/2017,Almond Croissant (San Francisco),USA,1.23,6.14,452
208661,02/01/2017,Tea (Tromsø),NOR,1.86,9.32,495
208662,03/01/2017,Apple Juice (Canberra),AUS,1.87,9.34,387
208663,04/01/2017,BLT Sandwich (Berlin),DEU,0.76,3.78,265
208664,05/01/2017,Toast (Boston),USA,1.85,9.26,344
208665,06/01/2017,Chocolate Chip Muffin (Southampton),GBR,0.86,4.28,287
208666,07/01/2017,Coffee (San Francisco),USA,0.96,4.82,357
208667,08/01/2017,Apple Juice (Melbourne),AUS,1.4,7,577
208668,09/01/2017,Lemon & Ginger Tea (Vancouver),CAN,0.99,4.96,546
208669,10/01/2017,Peach Juice (Madison),USA,1.82,9.1,488
208670,11/01/2017,Peach Juice (Hamburg),DEU,1.5,7.5,247
208671,12/01/2017,Almond Croissant (Melbourne),AUS,1.33,6.66,312
208672,13/01/2017,Still Water (Cardiff),GBR,1.35,6.74,593
208673,14/01/2017,Blueberry Muffin (Sønderborg),DNK,0.69,3.44,267
208674,15/01/2017,Green Tea (Strasbourg),FRA,0.74,3.72,354
208675,16/01/2017,Coffee (Austin),USA,1.01,5.06,484
208676,17/01/2017,Chocolate Twist (Tromsø),NOR,0.75,3.74,247
208677,18/01/2017,BLT Sandwich (Dresden),DEU,1.39,6.96,423
208678,19/01/2017,Orange Juice (Portland),USA,1.36,6.78,308
208679,20/01/2017,Cheese & Pickle Sandwich (Salzburg),AUT,0.89,4.44,265
208680,21/01/2017,Ham & Cheese Toastie (Paris),FRA,1,4.98,382
208681,22/01/2017,Orange Juice (Vancouver),CAN,0.76,3.82,338
208682,23/01/2017,Green Tea (Hamilton),NZL,0.64,3.2,326
208683,24/01/2017,Blueberry Muffin (Berlin),DEU,2.04,10.2,223
208684,25/01/2017,Almond Croissant (Graz),AUT,1.52,7.62,502
208685,26/01/2017,Orange Juice (Stuttgart),DEU,1.82,9.12,301
208686,27/01/2017,Ham & Cheese Toastie (Toulouse),FRA,0.81,4.06,211
208687,28/01/2017,Apple Juice (Melbourne),AUS,0.77,3.86,573
208688,29/01/2017,Porridge (Boston),USA,1.1,5.5,509
208689,30/01/2017,Lemon & Ginger Tea (Graz),AUT,1.98,9.88,370
208690,31/01/2017,Butter Croissant (Auckland),NZL,1.21,6.06,495
