Order ID,Date,Product,Country Code,  UnitCost  ,  UnitPrice  ,SalesQuantity
439694,01/01/2018,Chocolate Chip Muffin (Seattle),USA,0.32,1.62,87
439695,02/01/2018,Orange Juice (Galway),IRL,0.39,1.97,336
439696,03/01/2018,Orange Juice (Austin),USA,0.56,2.81,89
439697,04/01/2018,Ham & Cheese Toastie (Seattle),USA,1.09,5.45,174
439698,05/01/2018,Apple Juice (Potsdam),DEU,0.93,4.64,144
439699,06/01/2018,Toast (Lausanne),CHE,0.85,4.23,332
439700,07/01/2018,Almond Croissant (Seattle),USA,0.97,4.87,153
439701,08/01/2018,Orange Juice (Brussels),BEL,0.97,4.83,74
439702,09/01/2018,Butter Croissant (Stockholm),SWE,0.42,2.1,80
439703,10/01/2018,Peach Juice (Southampton),GBR,1.04,5.18,347
439704,11/01/2018,Green Tea (Boston),USA,1.03,5.13,157
439705,12/01/2018,Tomato Juice (Cardiff),GBR,0.51,2.55,197
439706,13/01/2018,Toast (Southampton),GBR,0.49,2.44,204
439707,14/01/2018,Lemon & Ginger Tea (Paris),FRA,1.02,5.08,372
439708,15/01/2018,Chocolate Twist (Stockholm),SWE,0.46,2.29,105
439709,16/01/2018,Peach Juice (Graz),AUT,0.63,3.15,296
439710,17/01/2018,Still Water (Lille),FRA,0.45,2.25,241
439711,18/01/2018,Fruit Box (Austin),USA,1.06,5.28,298
439712,19/01/2018,Chicken Fajita Wrap (Cardiff),GBR,0.54,2.71,142
439713,20/01/2018,Chicken Fajita Wrap (Munich),DEU,0.89,4.45,75
439714,21/01/2018,BLT Sandwich (Portland),USA,1,5,213
439715,22/01/2018,Lemon & Ginger Tea (Lille),FRA,0.34,1.71,226
439716,23/01/2018,Sparkling Water (Gdańsk),POL,0.78,3.89,158
439717,24/01/2018,Tuna Melt Panini (Vancouver),CAN,0.98,4.88,217
439718,25/01/2018,Orange Juice (Stockholm),SWE,1.08,5.42,101
439719,26/01/2018,Ham & Cheese Toastie (Munich),DEU,0.45,2.26,376
439720,27/01/2018,Toast (Kirkland),USA,0.31,1.53,340
439721,28/01/2018,BLT Sandwich (Odense),DNK,0.48,2.39,69
439722,29/01/2018,Apple Juice (Odense),DNK,0.36,1.81,244
439723,30/01/2018,Chocolate Twist (Canberra),AUS,0.86,4.29,370
439724,31/01/2018,Cheese & Pickle Sandwich (Southampton),GBR,0.9,4.51,272
439725,01/02/2018,Chicken Salad Sandwich (Potsdam),DEU,0.38,1.89,166
439726,02/02/2018,Cheese & Pickle Sandwich (Lausanne),CHE,0.96,4.78,375
439727,03/02/2018,Granola Bar (Seattle),USA,0.86,4.28,66
439728,04/02/2018,Apple Juice (Copenhagan),DNK,1.02,5.12,273
439729,05/02/2018,Apple Juice (Seattle),USA,0.99,4.94,178
439730,06/02/2018,Blueberry Muffin (Melbourne),AUS,0.87,4.33,277
439731,07/02/2018,Granola Bar (Hamilton),NZL,0.44,2.18,139
439732,08/02/2018,Tea (Melbourne),AUS,0.95,4.75,255
439733,09/02/2018,Sparkling Water (Manchester),GBR,0.88,4.4,87
439734,10/02/2018,Tea (Berlin),DEU,0.84,4.19,92
439735,11/02/2018,Blueberry Muffin (Edinburgh),GBR,0.93,4.63,119
