Order ID,Date,Product,Country Code,  UnitCost  ,  UnitPrice  ,SalesQuantity
439694,1/1/2018,Chocolate Chip Muffin (Seattle),USA,0.32,1.62,87
439695,1/2/2018,Orange Juice (Galway),IRL,0.39,1.97,336
439696,1/3/2018,Orange Juice (Austin),USA,0.56,2.81,89
439697,1/4/2018,Ham & Cheese Toastie (Seattle),USA,1.09,5.45,174
439698,1/5/2018,Apple Juice (Potsdam),DEU,0.93,4.64,144
439699,1/6/2018,Toast (Lausanne),CHE,0.85,4.23,332
439700,1/7/2018,Almond Croissant (Seattle),USA,0.97,4.87,153
439701,1/8/2018,Orange Juice (Brussels),BEL,0.97,4.83,74
439702,1/9/2018,Butter Croissant (Stockholm),SWE,0.42,2.1,80
439703,1/10/2018,Peach Juice (Southampton),GBR,1.04,5.18,347
439704,1/11/2018,Green Tea (Boston),USA,1.03,5.13,157
439705,1/12/2018,Tomato Juice (Cardiff),GBR,0.51,2.55,197
439706,1/13/2018,Toast (Southampton),GBR,0.49,2.44,204
439707,1/14/2018,Lemon & Ginger Tea (Paris),FRA,1.02,5.08,372
439708,1/15/2018,Chocolate Twist (Stockholm),SWE,0.46,2.29,105
439709,1/16/2018,Peach Juice (Graz),AUT,0.63,3.15,296
439710,1/17/2018,Still Water (Lille),FRA,0.45,2.25,241
439711,1/18/2018,Fruit Box (Austin),USA,1.06,5.28,298
439712,1/19/2018,Chicken Fajita Wrap (Cardiff),GBR,0.54,2.71,142
439713,1/20/2018,Chicken Fajita Wrap (Munich),DEU,0.89,4.45,75
439714,1/21/2018,BLT Sandwich (Portland),USA,1,5,213
439715,1/22/2018,Lemon & Ginger Tea (Lille),FRA,0.34,1.71,226
439716,1/23/2018,Sparkling Water (Gdańsk),POL,0.78,3.89,158
439717,1/24/2018,Tuna Melt Panini (Vancouver),CAN,0.98,4.88,217
439718,1/25/2018,Orange Juice (Stockholm),SWE,1.08,5.42,101
439719,1/26/2018,Ham & Cheese Toastie (Munich),DEU,0.45,2.26,376
439720,1/27/2018,Toast (Kirkland),USA,0.31,1.53,340
439721,1/28/2018,BLT Sandwich (Odense),DNK,0.48,2.39,69
439722,1/29/2018,Apple Juice (Odense),DNK,0.36,1.81,244
439723,1/30/2018,Chocolate Twist (Canberra),AUS,0.86,4.29,370
439724,1/31/2018,Cheese & Pickle Sandwich (Southampton),GBR,0.9,4.51,272
439725,2/1/2018,Chicken Salad Sandwich (Potsdam),DEU,0.38,1.89,166
439726,2/2/2018,Cheese & Pickle Sandwich (Lausanne),CHE,0.96,4.78,375
439727,2/3/2018,Granola Bar (Seattle),USA,0.86,4.28,66
