Order ID,Date,Product,Country Code,  UnitCost  ,  UnitPrice  ,SalesQuantity
821516,1/1/2019,Chocolate Chip Muffin (Boston),USA,0.99,4.96,322
821517,1/2/2019,Chicken Fajita Wrap (Geneva),CHE,0.58,2.88,230
821518,1/3/2019,Tomato Juice (Strasbourg),FRA,0.43,2.13,465
821519,1/4/2019,Still Water (Katowice),POL,0.81,4.04,495
821520,1/5/2019,Chocolate Chip Muffin (Hamburg),DEU,0.33,1.63,340
821521,1/6/2019,Lemon & Ginger Tea (Sydney),AUS,0.63,3.17,321
821522,1/7/2019,Tomato Juice (Auckland),NZL,0.37,1.86,283
821523,1/8/2019,Cheese & Pickle Sandwich (London),GBR,0.92,4.59,286
821524,1/9/2019,Apple Juice (Salzburg),AUT,0.59,2.97,490
821525,1/10/2019,Chicken Salad Sandwich (San Francisco),USA,0.61,3.07,447
821526,1/11/2019,Tomato Juice (Berlin),DEU,0.35,1.75,259
821527,1/12/2019,Green Tea (Strasbourg),FRA,0.84,4.21,239
821528,1/13/2019,Chocolate Chip Muffin (Portland),USA,0.38,1.89,490
821529,1/14/2019,Chicken Salad Sandwich (Boston),USA,0.71,3.57,216
821530,1/15/2019,Porridge (Salzburg),AUT,1.08,5.42,248
821531,1/16/2019,BLT Sandwich (Hamilton),NZL,0.44,2.21,426
821532,1/17/2019,Tuna Melt Panini (Sønderborg),DNK,0.48,2.41,317
821533,1/18/2019,Tea (Albuquerque),USA,0.92,4.59,211
821534,1/19/2019,Apple Juice (Paris),FRA,0.64,3.2,278
821535,1/20/2019,Coffee (Odense),DNK,0.79,3.93,456
821536,1/21/2019,Ham & Cheese Toastie (London),GBR,0.76,3.8,252
821537,1/22/2019,Cheese & Pickle Sandwich (Potsdam),DEU,0.9,4.51,222
821538,1/23/2019,Blueberry Muffin (Sønderborg),DNK,1.02,5.11,302
821539,1/24/2019,Ham & Cheese Toastie (Toulouse),FRA,0.78,3.91,325
821540,1/25/2019,Fruit Box (Stockholm),SWE,0.71,3.57,451
821541,1/26/2019,Blueberry Muffin (Lille),FRA,0.42,2.12,414
821542,1/27/2019,Green Tea (Edinburgh),GBR,1.02,5.12,338
821543,1/28/2019,Chocolate Twist (Sønderborg),DNK,0.8,4.02,468
821544,1/29/2019,Lemon & Ginger Tea (Odense),DNK,0.64,3.19,292
821545,1/30/2019,Coffee (Portland),USA,0.98,4.92,272
821546,1/31/2019,Tuna Melt Panini (Odense),DNK,0.83,4.17,432
821547,2/1/2019,Tuna Melt Panini (Galway),IRL,0.35,1.75,420
821548,2/2/2019,BLT Sandwich (Berlin),DEU,0.45,2.26,356
821549,2/3/2019,Chocolate Chip Muffin (Copenhagan),DNK,0.76,3.82,459
821550,2/4/2019,Tomato Juice (Cardiff),GBR,0.76,3.8,392
821551,2/5/2019,Butter Croissant (London),GBR,0.65,3.26,234
821552,2/6/2019,Blueberry Muffin (Manchester),GBR,0.39,1.95,349
821553,2/7/2019,Cheese & Pickle Sandwich (Kraków),POL,0.36,1.82,366
821554,2/8/2019,Chicken Fajita Wrap (Salzburg),AUT,1.06,5.32,360
821555,2/9/2019,Almond Croissant (Copenhagan),DNK,0.92,4.6,269
821556,2/10/2019,Coffee (Lille),FRA,0.58,2.89,312
821557,2/11/2019,Chocolate Chip Muffin (Katowice),POL,0.99,4.93,406
